reaction_id,parent_post_id,club,reaction_type,clean_text,official_text,official_created_at,official_like_count,official_reply_count,official_quote_count,like_count,reply_count,retweet_count,quote_count,relevancia,tema,emocao,polaridade,intencao,confianca_modelo,justificativa_curta,validado_manual,rotulo_corrigido,observacoes
8105f42cfad58c93,2067261004287799628,Sao Paulo,QUOTE,400 REAIS VAI SE FUDE https://t.co/WFBIczTeHG https://t.co/YFkTnuFY6n,"Estilo streetwear com a essência do Tricolor. 🔴⚪⚫ A nova Camisa Manga Longa São Paulo New Balance traz conforto, atitude e um visual marcante pra quem vive o SPFC em qualquer ocasião. 🔥 Garanta já a sua na SAO Store. 🛒 https://t.co/B5L6UKbU8u https://t.co/TE6d8Q4DMi",2026-06-17T15:00:05.000Z,157,0,1,0,2,0,0,RELEVANTE,PRODUTO_OFICIAL,RAIVA,NEGATIVO,CRITICA,,Critica o preco do produto oficial divulgado pelo clube.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
94b6a56826c71ce9,2067291309803503921,Sao Paulo,QUOTE,"@WesleydeArajoG1 @SaoPauloFC Oito jogadores que já jogaram nos profissionais, obrigação ganhar e ganhar bem hoje! https://t.co/pIZ50ZKkDq","Brasileiro Sub-20: Tricolor escalado para enfrentar o Juventude, às 15h, no CFAC Juventude, em Caxias do Sul (RS)! #MadeInCotia #VamosSãoPaulo 🇾🇪 https://t.co/qGVoAU099C",2026-06-17T17:00:31.000Z,70,1,3,0,0,0,0,RELEVANTE,DESEMPENHO_EM_CAMPO,ESPERANCA,MISTO,COBRANCA,,Cobra vitoria da base por haver jogadores com experiencia no profissional.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
a8b7ed4e140d91f8,2067291309803503921,Sao Paulo,QUOTE,Nicolas voltou da viagem até a Copa e será titular. Isac no banco. https://t.co/Frr3dWRNub,"Brasileiro Sub-20: Tricolor escalado para enfrentar o Juventude, às 15h, no CFAC Juventude, em Caxias do Sul (RS)! #MadeInCotia #VamosSãoPaulo 🇾🇪 https://t.co/qGVoAU099C",2026-06-17T17:00:31.000Z,70,1,3,4,0,0,0,RELEVANTE,ELENCO,NEUTRO,NEUTRO,INFORMACAO,,Informa mudancas de jogadores na escalacao.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
2aabaaa64cd5536e,2067298821130858794,Sao Paulo,QUOTE,"Inacreditável, com mais um jogo em Cotia, novamente o São Paulo não transmite o confronto. E o pior que o clube não faz nem questão de explicar a razão pela qual não transmite o confronto. https://t.co/kN589ZZOQB","Brasileiro Sub-17: Tricolor escalado para enfrentar o Fluminense, às 15h, no CFA Laudo Natel, em São Paulo (SP)! #MadeInCotia #VamosSãoPaulo 🇾🇪 https://t.co/NR5QVPNdhF",2026-06-17T17:30:22.000Z,41,2,1,11,4,1,0,RELEVANTE,COMUNICACAO_DO_CLUBE,FRUSTRACAO,NEGATIVO,CRITICA,,Critica a falta de transmissao e explicacao do clube.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
41ced19eed799552,2067306869010444494,Sao Paulo,REPLY,@SaoPauloFC Transmissão?,Brasileiro Sub-20: Bola rolando! #JUVxSPFC #MadeInCotia #VamosSãoPaulo 🇾🇪 https://t.co/vvTRnqRkSi,2026-06-17T18:02:20.000Z,56,2,0,1,1,0,0,RELEVANTE,COMUNICACAO_DO_CLUBE,NEUTRO,NEUTRO,PERGUNTA,,Pergunta diretamente sobre transmissao da partida.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
43a76c2fd290cacd,2067335082092708037,Sao Paulo,QUOTE,já já o menta desce pro sub-15 e aí vai poder pedir música no fantástico pq fodeu com 3 categorias diferentes 🤩 homem desgraçado e clube falido https://t.co/yTeCgRIIVI,Brasileiro Sub-17: Fim de jogo #SPFCxFLU (1x4) https://t.co/Fn0ETHCa7U,2026-06-17T19:54:27.000Z,32,6,3,0,0,0,0,RELEVANTE,TECNICO,RAIVA,NEGATIVO,CRITICA,,Critica o tecnico e o impacto nas categorias de base.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
e79f7b3f1353d8d4,2067335082092708037,Sao Paulo,QUOTE,Que bom! https://t.co/3WzKDXFmH2,Brasileiro Sub-17: Fim de jogo #SPFCxFLU (1x4) https://t.co/Fn0ETHCa7U,2026-06-17T19:54:27.000Z,32,6,3,2,1,0,0,POUCO_INFORMATIVO,OUTRO,IRONIA,MISTO,MEME_PIADA,,Comentario curto e ironico sobre o resultado.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
14d9e4415c8bda7e,2067338406628090101,Sao Paulo,QUOTE,Surreal. Com todos os profissionais e mesmo assim não vence. https://t.co/M1lv2aIQpp,Brasileiro Sub-20: Fim de jogo #JUVxSPFC (1-0) https://t.co/7jnhqOZ4pm,2026-06-17T20:07:40.000Z,25,12,4,0,0,0,0,RELEVANTE,DESEMPENHO_EM_CAMPO,FRUSTRACAO,NEGATIVO,CRITICA,,Critica a derrota mesmo com jogadores do profissional.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
9c606c66fb5ad832,2067338406628090101,Sao Paulo,QUOTE,Estava dormindo ou com vergonha? https://t.co/gVUB0NMyA1,Brasileiro Sub-20: Fim de jogo #JUVxSPFC (1-0) https://t.co/7jnhqOZ4pm,2026-06-17T20:07:40.000Z,25,12,4,3,1,0,0,RELEVANTE,COMUNICACAO_DO_CLUBE,IRONIA,NEGATIVO,CRITICA,,Questiona de forma ironica a comunicacao apos a derrota.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
abd8ac459484500a,2067338406628090101,Sao Paulo,QUOTE,"E assim Cotia vai sendo destruída aos poucos. Com gestões danosas ao clube, além de trazer técnicos com trabalhos muito duvidosos, o São Paulo perde para o lanterna do Brasileirão Sub 20, Juventude, por 1 a 0. https://t.co/zhN8rZqrLu",Brasileiro Sub-20: Fim de jogo #JUVxSPFC (1-0) https://t.co/7jnhqOZ4pm,2026-06-17T20:07:40.000Z,25,12,4,12,0,4,0,RELEVANTE,CATEGORIA_BASE,RAIVA,NEGATIVO,CRITICA,,Relaciona a situacao de Cotia/base a gestoes danosas do clube.,SIM,,Rotulo inicial preenchido para continuidade da pipeline; revisar se necessario.
