reaction_id,parent_post_id,club,reaction_type,clean_text,official_text,official_post_type,official_post_topic,official_created_at,official_like_count,official_reply_count,official_quote_count,like_count,reply_count,retweet_count,quote_count,relevancia,tema,emocao,polaridade,intencao,confianca_modelo,justificativa_curta,validado_manual,rotulo_corrigido,observacoes
8105f42cfad58c93,2067261004287799628,Sao Paulo,QUOTE,400 REAIS VAI SE FUDE https://t.co/WFBIczTeHG https://t.co/YFkTnuFY6n,"Estilo streetwear com a essência do Tricolor. 🔴⚪⚫ A nova Camisa Manga Longa São Paulo New Balance traz conforto, atitude e um visual marcante pra quem vive o SPFC em qualquer ocasião. 🔥 Garanta já a sua na SAO Store. 🛒 https://t.co/B5L6UKbU8u https://t.co/TE6d8Q4DMi",PRODUTO_CAMISA,PRODUTO_OFICIAL,2026-06-17T15:00:05.000Z,157,0,1,0,2,0,0,,,,,,,,NAO,,
94b6a56826c71ce9,2067291309803503921,Sao Paulo,QUOTE,"@WesleydeArajoG1 @SaoPauloFC Oito jogadores que já jogaram nos profissionais, obrigação ganhar e ganhar bem hoje! https://t.co/pIZ50ZKkDq","Brasileiro Sub-20: Tricolor escalado para enfrentar o Juventude, às 15h, no CFAC Juventude, em Caxias do Sul (RS)! #MadeInCotia #VamosSãoPaulo 🇾🇪 https://t.co/qGVoAU099C",ESCALACAO,CATEGORIA_BASE,2026-06-17T17:00:31.000Z,70,1,3,0,0,0,0,,,,,,,,NAO,,
a8b7ed4e140d91f8,2067291309803503921,Sao Paulo,QUOTE,Nicolas voltou da viagem até a Copa e será titular. Isac no banco. https://t.co/Frr3dWRNub,"Brasileiro Sub-20: Tricolor escalado para enfrentar o Juventude, às 15h, no CFAC Juventude, em Caxias do Sul (RS)! #MadeInCotia #VamosSãoPaulo 🇾🇪 https://t.co/qGVoAU099C",ESCALACAO,CATEGORIA_BASE,2026-06-17T17:00:31.000Z,70,1,3,4,0,0,0,,,,,,,,NAO,,
2aabaaa64cd5536e,2067298821130858794,Sao Paulo,QUOTE,"Inacreditável, com mais um jogo em Cotia, novamente o São Paulo não transmite o confronto. E o pior que o clube não faz nem questão de explicar a razão pela qual não transmite o confronto. https://t.co/kN589ZZOQB","Brasileiro Sub-17: Tricolor escalado para enfrentar o Fluminense, às 15h, no CFA Laudo Natel, em São Paulo (SP)! #MadeInCotia #VamosSãoPaulo 🇾🇪 https://t.co/NR5QVPNdhF",ESCALACAO,CATEGORIA_BASE,2026-06-17T17:30:22.000Z,50,2,1,11,4,1,0,,,,,,,,NAO,,
3121a3ae346b911a,2067335082092708037,Sao Paulo,QUOTE,"Enquanto tá geral olhando pra copa, Xerém vai fazendo vítimas… olha o sub-17 goleando o São Paulo dentro do CT de Cotia! https://t.co/XEPC5KcxAq",Brasileiro Sub-17: Fim de jogo #SPFCxFLU (1x4) https://t.co/Fn0ETHCa7U,RESULTADO,CATEGORIA_BASE,2026-06-17T19:54:27.000Z,41,7,5,135,3,1,0,,,,,,,,NAO,,
43a76c2fd290cacd,2067335082092708037,Sao Paulo,QUOTE,já já o menta desce pro sub-15 e aí vai poder pedir música no fantástico pq fodeu com 3 categorias diferentes 🤩 homem desgraçado e clube falido https://t.co/yTeCgRIIVI,Brasileiro Sub-17: Fim de jogo #SPFCxFLU (1x4) https://t.co/Fn0ETHCa7U,RESULTADO,CATEGORIA_BASE,2026-06-17T19:54:27.000Z,41,7,5,0,0,0,0,,,,,,,,NAO,,
e79f7b3f1353d8d4,2067335082092708037,Sao Paulo,QUOTE,Que bom! https://t.co/3WzKDXFmH2,Brasileiro Sub-17: Fim de jogo #SPFCxFLU (1x4) https://t.co/Fn0ETHCa7U,RESULTADO,CATEGORIA_BASE,2026-06-17T19:54:27.000Z,41,7,5,2,1,0,0,,,,,,,,NAO,,
aacbf265450efc6f,2067335082092708037,Sao Paulo,REPLY,@SaoPauloFC clube falido em todos os âmbitos,Brasileiro Sub-17: Fim de jogo #SPFCxFLU (1x4) https://t.co/Fn0ETHCa7U,RESULTADO,CATEGORIA_BASE,2026-06-17T19:54:27.000Z,41,7,5,2,1,0,0,,,,,,,,NAO,,
af72c492914bd360,2067335082092708037,Sao Paulo,REPLY,@SaoPauloFC Presságio do amistoso que vem aí 😁,Brasileiro Sub-17: Fim de jogo #SPFCxFLU (1x4) https://t.co/Fn0ETHCa7U,RESULTADO,CATEGORIA_BASE,2026-06-17T19:54:27.000Z,41,7,5,0,0,0,0,,,,,,,,NAO,,
14d9e4415c8bda7e,2067338406628090101,Sao Paulo,QUOTE,Surreal. Com todos os profissionais e mesmo assim não vence. https://t.co/M1lv2aIQpp,Brasileiro Sub-20: Fim de jogo #JUVxSPFC (1-0) https://t.co/7jnhqOZ4pm,RESULTADO,CATEGORIA_BASE,2026-06-17T20:07:40.000Z,34,12,5,0,0,0,0,,,,,,,,NAO,,
2688172b2f33f024,2067338406628090101,Sao Paulo,QUOTE,"Desde 2022 o São Paulo não consegue ficar entre os 6 melhores times do Brasileirão sub-20, ganharam títulos muito por conta da competência absurda do Allan, trabalho pífio com a base, invés de apostar com (Belleti, Júlio) no sub-17 jogam eles no sub-20, diretoria retardada ($$$) https://t.co/QO0geJreKu",Brasileiro Sub-20: Fim de jogo #JUVxSPFC (1-0) https://t.co/7jnhqOZ4pm,RESULTADO,CATEGORIA_BASE,2026-06-17T20:07:40.000Z,34,12,5,5,1,0,0,,,,,,,,NAO,,
9c606c66fb5ad832,2067338406628090101,Sao Paulo,QUOTE,Estava dormindo ou com vergonha? https://t.co/gVUB0NMyA1,Brasileiro Sub-20: Fim de jogo #JUVxSPFC (1-0) https://t.co/7jnhqOZ4pm,RESULTADO,CATEGORIA_BASE,2026-06-17T20:07:40.000Z,34,12,5,3,1,0,0,,,,,,,,NAO,,
abd8ac459484500a,2067338406628090101,Sao Paulo,QUOTE,"E assim Cotia vai sendo destruída aos poucos. Com gestões danosas ao clube, além de trazer técnicos com trabalhos muito duvidosos, o São Paulo perde para o lanterna do Brasileirão Sub 20, Juventude, por 1 a 0. https://t.co/zhN8rZqrLu",Brasileiro Sub-20: Fim de jogo #JUVxSPFC (1-0) https://t.co/7jnhqOZ4pm,RESULTADO,CATEGORIA_BASE,2026-06-17T20:07:40.000Z,34,12,5,12,0,4,0,,,,,,,,NAO,,
8df3648cb5664d01,2067338406628090101,Sao Paulo,REPLY,"@SaoPauloFC Vamo ser rebaixado no sub-20, o nível de amadorismo desse clube chegou em seu ápice! Nada presta nessa merda a nao ser a torcida...",Brasileiro Sub-20: Fim de jogo #JUVxSPFC (1-0) https://t.co/7jnhqOZ4pm,RESULTADO,CATEGORIA_BASE,2026-06-17T20:07:40.000Z,34,12,5,0,0,0,0,,,,,,,,NAO,,
