collection_id,date,club,endpoint,requested_limit,returned_count,estimated_cost,status,notes
sao-paulo-official-posts-test-2026-06-18T02:38:25+00:00,2026-06-18T02:38:25+00:00,Sao Paulo,https://api.x.com/2/tweets/search/recent,10,2,A_DEFINIR,success,Teste inicial autorizado: query=from:SaoPauloFC -is:retweet; API max_results=10; saved_limit=2.
sao-paulo-official-posts-test-2026-06-18T02:51:53+00:00,2026-06-18T02:51:53+00:00,Sao Paulo,https://api.x.com/2/tweets/search/recent,10,10,A_DEFINIR,success,Teste inicial autorizado: query=from:SaoPauloFC -is:retweet; API max_results=10; saved_all_returned=true.
sao-paulo-replies-2067383876234674418,2026-06-18T02:53:17+00:00,Sao Paulo,https://api.x.com/2/tweets/search/recent,10,10,A_DEFINIR,success,query=in_reply_to_tweet_id:2067383876234674418 -from:SaoPauloFC -is:retweet; saved_all_returned=true.
sao-paulo-quotes-2067383876234674418,2026-06-18T02:53:18+00:00,Sao Paulo,https://api.x.com/2/tweets/search/recent,10,0,A_DEFINIR,success,query=quotes_of_tweet_id:2067383876234674418 -is:retweet; saved_all_returned=true.
sao-paulo-replies-2067359047389487371,2026-06-18T02:53:19+00:00,Sao Paulo,https://api.x.com/2/tweets/search/recent,10,10,A_DEFINIR,success,query=in_reply_to_tweet_id:2067359047389487371 -from:SaoPauloFC -is:retweet; saved_all_returned=true.
sao-paulo-quotes-2067359047389487371,2026-06-18T02:53:20+00:00,Sao Paulo,https://api.x.com/2/tweets/search/recent,10,6,A_DEFINIR,success,query=quotes_of_tweet_id:2067359047389487371 -is:retweet; saved_all_returned=true.
sao-paulo-contextual-smoke-total-2026-06-18,2026-06-18T02:53:20+00:00,Sao Paulo,https://api.x.com/2/tweets/search/recent,50,36,USD 0.13,success,Custo total observado no Developer Console para a operacao completa: 10 posts oficiais + replies/quotes dos 2 primeiros posts.
sao-paulo-replies-2067338406628090101,2026-06-18T03:28:14+00:00,Sao Paulo,https://api.x.com/2/tweets/search/recent,100,12,A_DEFINIR,success,query=in_reply_to_tweet_id:2067338406628090101 -from:SaoPauloFC -is:retweet; saved_all_returned=true.
sao-paulo-quotes-2067338406628090101,2026-06-18T03:28:15+00:00,Sao Paulo,https://api.x.com/2/tweets/search/recent,100,4,A_DEFINIR,success,query=quotes_of_tweet_id:2067338406628090101 -is:retweet; saved_all_returned=true.
sao-paulo-replies-2067335082092708037,2026-06-18T03:28:16+00:00,Sao Paulo,https://api.x.com/2/tweets/search/recent,100,7,A_DEFINIR,success,query=in_reply_to_tweet_id:2067335082092708037 -from:SaoPauloFC -is:retweet; saved_all_returned=true.
sao-paulo-quotes-2067335082092708037,2026-06-18T03:28:17+00:00,Sao Paulo,https://api.x.com/2/tweets/search/recent,100,3,A_DEFINIR,success,query=quotes_of_tweet_id:2067335082092708037 -is:retweet; saved_all_returned=true.
sao-paulo-replies-2067306869010444494,2026-06-18T03:28:17+00:00,Sao Paulo,https://api.x.com/2/tweets/search/recent,100,1,A_DEFINIR,success,query=in_reply_to_tweet_id:2067306869010444494 -from:SaoPauloFC -is:retweet; saved_all_returned=true.
sao-paulo-quotes-2067306869010444494,2026-06-18T03:28:18+00:00,Sao Paulo,https://api.x.com/2/tweets/search/recent,100,0,A_DEFINIR,success,query=quotes_of_tweet_id:2067306869010444494 -is:retweet; saved_all_returned=true.
sao-paulo-replies-2067306489157501010,2026-06-18T03:28:19+00:00,Sao Paulo,https://api.x.com/2/tweets/search/recent,100,1,A_DEFINIR,success,query=in_reply_to_tweet_id:2067306489157501010 -from:SaoPauloFC -is:retweet; saved_all_returned=true.
sao-paulo-quotes-2067306489157501010,2026-06-18T03:28:20+00:00,Sao Paulo,https://api.x.com/2/tweets/search/recent,100,0,A_DEFINIR,success,query=quotes_of_tweet_id:2067306489157501010 -is:retweet; saved_all_returned=true.
sao-paulo-replies-2067298821130858794,2026-06-18T03:28:21+00:00,Sao Paulo,https://api.x.com/2/tweets/search/recent,100,1,A_DEFINIR,success,query=in_reply_to_tweet_id:2067298821130858794 -from:SaoPauloFC -is:retweet; saved_all_returned=true.
sao-paulo-quotes-2067298821130858794,2026-06-18T03:28:22+00:00,Sao Paulo,https://api.x.com/2/tweets/search/recent,100,1,A_DEFINIR,success,query=quotes_of_tweet_id:2067298821130858794 -is:retweet; saved_all_returned=true.
sao-paulo-replies-2067291309803503921,2026-06-18T03:28:23+00:00,Sao Paulo,https://api.x.com/2/tweets/search/recent,100,0,A_DEFINIR,success,query=in_reply_to_tweet_id:2067291309803503921 -from:SaoPauloFC -is:retweet; saved_all_returned=true.
sao-paulo-quotes-2067291309803503921,2026-06-18T03:28:24+00:00,Sao Paulo,https://api.x.com/2/tweets/search/recent,100,3,A_DEFINIR,success,query=quotes_of_tweet_id:2067291309803503921 -is:retweet; saved_all_returned=true.
sao-paulo-replies-2067273833451593965,2026-06-18T03:28:25+00:00,Sao Paulo,https://api.x.com/2/tweets/search/recent,100,0,A_DEFINIR,success,query=in_reply_to_tweet_id:2067273833451593965 -from:SaoPauloFC -is:retweet; saved_all_returned=true.
sao-paulo-quotes-2067273833451593965,2026-06-18T03:28:26+00:00,Sao Paulo,https://api.x.com/2/tweets/search/recent,100,0,A_DEFINIR,success,query=quotes_of_tweet_id:2067273833451593965 -is:retweet; saved_all_returned=true.
sao-paulo-replies-2067261004287799628,2026-06-18T03:28:27+00:00,Sao Paulo,https://api.x.com/2/tweets/search/recent,100,0,A_DEFINIR,success,query=in_reply_to_tweet_id:2067261004287799628 -from:SaoPauloFC -is:retweet; saved_all_returned=true.
sao-paulo-quotes-2067261004287799628,2026-06-18T03:28:28+00:00,Sao Paulo,https://api.x.com/2/tweets/search/recent,100,1,A_DEFINIR,success,query=quotes_of_tweet_id:2067261004287799628 -is:retweet; saved_all_returned=true.
sao-paulo-contextual-remaining-reactions-2026-06-18,2026-06-18T03:28:28+00:00,Sao Paulo,https://api.x.com/2/tweets/search/recent,1600,34,USD 0.17,success,Custo observado no Developer Console para replies/quotes dos 8 posts oficiais restantes; 16 buscas com max_results=100.
sao-paulo-contextual-total-2026-06-18,2026-06-18T03:28:28+00:00,Sao Paulo,https://api.x.com/2/tweets/search/recent,1650,70,USD 0.30,success,Custo total observado: US$ 0.13 na primeira rodada + US$ 0.17 na segunda; base final com 10 posts oficiais e 60 reacoes.
