official_post_topic,tema,count
CATEGORIA_BASE,CATEGORIA_BASE,3
CATEGORIA_BASE,COMUNICACAO_DO_CLUBE,3
CATEGORIA_BASE,DESEMPENHO_EM_CAMPO,3
CATEGORIA_BASE,TECNICO,2
CATEGORIA_BASE,DIRETORIA,1
CATEGORIA_BASE,ELENCO,1
CATEGORIA_BASE,OUTRO,1
FUTEBOL_PROFISSIONAL_MASCULINO,DESEMPENHO_EM_CAMPO,4
FUTEBOL_PROFISSIONAL_MASCULINO,ELENCO,4
FUTEBOL_PROFISSIONAL_MASCULINO,OUTRO,4
FUTEBOL_PROFISSIONAL_MASCULINO,CONTRATACAO,1
FUTEBOL_PROFISSIONAL_MASCULINO,DIRETORIA,1
FUTEBOL_PROFISSIONAL_MASCULINO,RIVALIDADE,1
PRODUTO_OFICIAL,PRODUTO_OFICIAL,1
