official_post_type,intencao,count
BASE,CRITICA,3
BASE,INFORMACAO,1
BASTIDORES,CRITICA,20
BASTIDORES,INFORMACAO,3
BASTIDORES,COBRANCA,2
BASTIDORES,APOIO,1
BASTIDORES,MEME_PIADA,1
BASTIDORES,OUTRO,1
ESCALACAO,COBRANCA,2
ESCALACAO,CRITICA,1
ESCALACAO,INFORMACAO,1
OUTRO,CRITICA,18
OUTRO,APOIO,14
OUTRO,INFORMACAO,13
OUTRO,ELOGIO,9
OUTRO,MEME_PIADA,6
OUTRO,PROVOCACAO,5
OUTRO,COBRANCA,4
OUTRO,PEDIDO,3
OUTRO,OUTRO,2
OUTRO,PERGUNTA,1
PARTIDA,CRITICA,6
PARTIDA,PERGUNTA,2
PARTIDA,ELOGIO,1
PARTIDA,MEME_PIADA,1
PARTIDA,OUTRO,1
PARTIDA,PROVOCACAO,1
PRODUTO_CAMISA,CRITICA,9
PRODUTO_CAMISA,APOIO,2
PRODUTO_CAMISA,INFORMACAO,2
PRODUTO_CAMISA,ELOGIO,1
PRODUTO_CAMISA,OUTRO,1
RESULTADO,CRITICA,8
RESULTADO,APOIO,1
RESULTADO,ELOGIO,1
RESULTADO,PEDIDO,1
RESULTADO,PROVOCACAO,1
