official_post_topic,polaridade,count
CATEGORIA_BASE,NEGATIVO,15
CATEGORIA_BASE,POSITIVO,3
CATEGORIA_BASE,NEUTRO,2
FUTEBOL_FEMININO,NEGATIVO,1
FUTEBOL_PROFISSIONAL_MASCULINO,NEGATIVO,21
FUTEBOL_PROFISSIONAL_MASCULINO,NEUTRO,5
FUTEBOL_PROFISSIONAL_MASCULINO,POSITIVO,1
INSTITUCIONAL,POSITIVO,13
INSTITUCIONAL,NEGATIVO,4
INSTITUCIONAL,NEUTRO,3
OUTRO,NEGATIVO,28
OUTRO,NEUTRO,19
OUTRO,POSITIVO,18
OUTRO,MISTO,2
PRODUTO_OFICIAL,NEGATIVO,8
PRODUTO_OFICIAL,POSITIVO,4
PRODUTO_OFICIAL,NEUTRO,2
PRODUTO_OFICIAL,MISTO,1
