official_post_topic,tema,count
CATEGORIA_BASE,CATEGORIA_BASE,13
CATEGORIA_BASE,DESEMPENHO_EM_CAMPO,2
CATEGORIA_BASE,ELENCO,2
CATEGORIA_BASE,COMUNICACAO_DO_CLUBE,1
CATEGORIA_BASE,DIRETORIA,1
CATEGORIA_BASE,TECNICO,1
FUTEBOL_FEMININO,OUTRO,1
FUTEBOL_PROFISSIONAL_MASCULINO,DESEMPENHO_EM_CAMPO,7
FUTEBOL_PROFISSIONAL_MASCULINO,ELENCO,7
FUTEBOL_PROFISSIONAL_MASCULINO,OUTRO,5
FUTEBOL_PROFISSIONAL_MASCULINO,COMUNICACAO_DO_CLUBE,3
FUTEBOL_PROFISSIONAL_MASCULINO,CONTRATACAO,3
FUTEBOL_PROFISSIONAL_MASCULINO,DIRETORIA,1
FUTEBOL_PROFISSIONAL_MASCULINO,TECNICO,1
INSTITUCIONAL,ELENCO,11
INSTITUCIONAL,OUTRO,4
INSTITUCIONAL,COMUNICACAO_DO_CLUBE,2
INSTITUCIONAL,DESEMPENHO_EM_CAMPO,1
INSTITUCIONAL,RIVALIDADE,1
INSTITUCIONAL,TORCIDA,1
OUTRO,OUTRO,22
OUTRO,COMUNICACAO_DO_CLUBE,12
OUTRO,DIRETORIA,9
OUTRO,ELENCO,8
OUTRO,DESEMPENHO_EM_CAMPO,6
OUTRO,RIVALIDADE,5
OUTRO,CONTRATACAO,2
OUTRO,MARKETING,2
OUTRO,TORCIDA,1
PRODUTO_OFICIAL,PRODUTO_OFICIAL,10
PRODUTO_OFICIAL,DIRETORIA,3
PRODUTO_OFICIAL,COMUNICACAO_DO_CLUBE,1
PRODUTO_OFICIAL,DESEMPENHO_EM_CAMPO,1
