reaction_id,parent_post_id,club,reaction_type,clean_text,official_text,official_post_type,official_post_topic,relevancia,tema,emocao,polaridade,intencao,confianca_modelo,justificativa_curta
8105f42cfad58c93,2067261004287799628,Sao Paulo,QUOTE,400 REAIS VAI SE FUDE https://t.co/WFBIczTeHG https://t.co/YFkTnuFY6n,"Estilo streetwear com a essência do Tricolor. 🔴⚪⚫ A nova Camisa Manga Longa São Paulo New Balance traz conforto, atitude e um visual marcante pra quem vive o SPFC em qualquer ocasião. 🔥 Garanta já a sua na SAO Store. 🛒 https://t.co/B5L6UKbU8u https://t.co/TE6d8Q4DMi",PRODUTO_CAMISA,PRODUTO_OFICIAL,RELEVANTE,PRODUTO_OFICIAL,RAIVA,NEGATIVO,CRITICA,0.8,"Torcedor critica o preço da camisa (R$400) de forma agressiva, demonstrando raiva."
94b6a56826c71ce9,2067291309803503921,Sao Paulo,QUOTE,"@WesleydeArajoG1 @SaoPauloFC Oito jogadores que já jogaram nos profissionais, obrigação ganhar e ganhar bem hoje! https://t.co/pIZ50ZKkDq","Brasileiro Sub-20: Tricolor escalado para enfrentar o Juventude, às 15h, no CFAC Juventude, em Caxias do Sul (RS)! #MadeInCotia #VamosSãoPaulo 🇾🇪 https://t.co/qGVoAU099C",ESCALACAO,CATEGORIA_BASE,RELEVANTE,DESEMPENHO_EM_CAMPO,FRUSTRACAO,NEGATIVO,COBRANCA,0.9,"Torcedor cobra que o time, por ter jogadores experientes, tem obrigação de vencer e vencer bem."
a8b7ed4e140d91f8,2067291309803503921,Sao Paulo,QUOTE,Nicolas voltou da viagem até a Copa e será titular. Isac no banco. https://t.co/Frr3dWRNub,"Brasileiro Sub-20: Tricolor escalado para enfrentar o Juventude, às 15h, no CFAC Juventude, em Caxias do Sul (RS)! #MadeInCotia #VamosSãoPaulo 🇾🇪 https://t.co/qGVoAU099C",ESCALACAO,CATEGORIA_BASE,RELEVANTE,ELENCO,NEUTRO,NEUTRO,INFORMACAO,0.9,"O torcedor comenta sobre a escalação de Nicolas como titular, citando seu retorno de viagem, sem expressar emoção ou crítica clara."
2aabaaa64cd5536e,2067298821130858794,Sao Paulo,QUOTE,"Inacreditável, com mais um jogo em Cotia, novamente o São Paulo não transmite o confronto. E o pior que o clube não faz nem questão de explicar a razão pela qual não transmite o confronto. https://t.co/kN589ZZOQB","Brasileiro Sub-17: Tricolor escalado para enfrentar o Fluminense, às 15h, no CFA Laudo Natel, em São Paulo (SP)! #MadeInCotia #VamosSãoPaulo 🇾🇪 https://t.co/NR5QVPNdhF",ESCALACAO,CATEGORIA_BASE,RELEVANTE,COMUNICACAO_DO_CLUBE,FRUSTRACAO,NEGATIVO,CRITICA,0.9,Torcedor critica a falta de transmissão do jogo e a ausência de explicação do clube.
3121a3ae346b911a,2067335082092708037,Sao Paulo,QUOTE,"Enquanto tá geral olhando pra copa, Xerém vai fazendo vítimas… olha o sub-17 goleando o São Paulo dentro do CT de Cotia! https://t.co/XEPC5KcxAq",Brasileiro Sub-17: Fim de jogo #SPFCxFLU (1x4) https://t.co/Fn0ETHCa7U,RESULTADO,CATEGORIA_BASE,RELEVANTE,CATEGORIA_BASE,ORGULHO,POSITIVO,ELOGIO,0.9,"Torcedor celebra vitória do sub-17 do Fluminense sobre o São Paulo, demonstrando orgulho e elogio à base do clube."
43a76c2fd290cacd,2067335082092708037,Sao Paulo,QUOTE,já já o menta desce pro sub-15 e aí vai poder pedir música no fantástico pq fodeu com 3 categorias diferentes 🤩 homem desgraçado e clube falido https://t.co/yTeCgRIIVI,Brasileiro Sub-17: Fim de jogo #SPFCxFLU (1x4) https://t.co/Fn0ETHCa7U,RESULTADO,CATEGORIA_BASE,RELEVANTE,TECNICO,RAIVA,NEGATIVO,CRITICA,0.9,"Torcedor critica técnico (Menta) por desempenho em três categorias, demonstra raiva e descontentamento."
e79f7b3f1353d8d4,2067335082092708037,Sao Paulo,QUOTE,Que bom! https://t.co/3WzKDXFmH2,Brasileiro Sub-17: Fim de jogo #SPFCxFLU (1x4) https://t.co/Fn0ETHCa7U,RESULTADO,CATEGORIA_BASE,RELEVANTE,CATEGORIA_BASE,ALEGRIA,POSITIVO,APOIO,0.9,Torcedor expressa contentamento com resultado da categoria base.
aacbf265450efc6f,2067335082092708037,Sao Paulo,REPLY,@SaoPauloFC clube falido em todos os âmbitos,Brasileiro Sub-17: Fim de jogo #SPFCxFLU (1x4) https://t.co/Fn0ETHCa7U,RESULTADO,CATEGORIA_BASE,RELEVANTE,DIRETORIA,FRUSTRACAO,NEGATIVO,CRITICA,0.8,Torcedor critica gestão financeira do clube em resposta a resultado ruim da base.
af72c492914bd360,2067335082092708037,Sao Paulo,REPLY,@SaoPauloFC Presságio do amistoso que vem aí 😁,Brasileiro Sub-17: Fim de jogo #SPFCxFLU (1x4) https://t.co/Fn0ETHCa7U,RESULTADO,CATEGORIA_BASE,RELEVANTE,CATEGORIA_BASE,IRONIA,NEUTRO,PROVOCACAO,0.9,"Torcedor faz referência irônica ao resultado negativo, associando-o a um futuro amistoso."
14d9e4415c8bda7e,2067338406628090101,Sao Paulo,QUOTE,Surreal. Com todos os profissionais e mesmo assim não vence. https://t.co/M1lv2aIQpp,Brasileiro Sub-20: Fim de jogo #JUVxSPFC (1-0) https://t.co/7jnhqOZ4pm,RESULTADO,CATEGORIA_BASE,RELEVANTE,CATEGORIA_BASE,FRUSTRACAO,NEGATIVO,CRITICA,0.9,"Torcedor critica derrota mesmo com profissionais, demonstrando frustração."
2688172b2f33f024,2067338406628090101,Sao Paulo,QUOTE,"Desde 2022 o São Paulo não consegue ficar entre os 6 melhores times do Brasileirão sub-20, ganharam títulos muito por conta da competência absurda do Allan, trabalho pífio com a base, invés de apostar com (Belleti, Júlio) no sub-17 jogam eles no sub-20, diretoria retardada ($$$) https://t.co/QO0geJreKu",Brasileiro Sub-20: Fim de jogo #JUVxSPFC (1-0) https://t.co/7jnhqOZ4pm,RESULTADO,CATEGORIA_BASE,RELEVANTE,CATEGORIA_BASE,RAIVA,NEGATIVO,CRITICA,0.9,"Crítica direta ao trabalho da base e diretoria, expressando insatisfação com resultados recentes."
9c606c66fb5ad832,2067338406628090101,Sao Paulo,QUOTE,Estava dormindo ou com vergonha? https://t.co/gVUB0NMyA1,Brasileiro Sub-20: Fim de jogo #JUVxSPFC (1-0) https://t.co/7jnhqOZ4pm,RESULTADO,CATEGORIA_BASE,RELEVANTE,CATEGORIA_BASE,IRONIA,NEGATIVO,CRITICA,0.9,"Torcedor critica de forma irônica a derrota do time na base, questionando se estavam dormindo ou com vergonha."
abd8ac459484500a,2067338406628090101,Sao Paulo,QUOTE,"E assim Cotia vai sendo destruída aos poucos. Com gestões danosas ao clube, além de trazer técnicos com trabalhos muito duvidosos, o São Paulo perde para o lanterna do Brasileirão Sub 20, Juventude, por 1 a 0. https://t.co/zhN8rZqrLu",Brasileiro Sub-20: Fim de jogo #JUVxSPFC (1-0) https://t.co/7jnhqOZ4pm,RESULTADO,CATEGORIA_BASE,RELEVANTE,CATEGORIA_BASE,RAIVA,NEGATIVO,CRITICA,0.9,"O torcedor critica a gestão e a escolha de técnicos, demonstrando raiva pela derrota e pela situação de Cotia."
8df3648cb5664d01,2067338406628090101,Sao Paulo,REPLY,"@SaoPauloFC Vamo ser rebaixado no sub-20, o nível de amadorismo desse clube chegou em seu ápice! Nada presta nessa merda a nao ser a torcida...",Brasileiro Sub-20: Fim de jogo #JUVxSPFC (1-0) https://t.co/7jnhqOZ4pm,RESULTADO,CATEGORIA_BASE,RELEVANTE,CATEGORIA_BASE,RAIVA,NEGATIVO,CRITICA,0.95,"Torcedor critica a situação da categoria base do clube, expressando frustração e raiva."
9d812f849c805229,2067338406628090101,Sao Paulo,REPLY,@SaoPauloFC Misericórdia até aí estamos sofrendo ..... #ForaJulioBatista,Brasileiro Sub-20: Fim de jogo #JUVxSPFC (1-0) https://t.co/7jnhqOZ4pm,RESULTADO,CATEGORIA_BASE,RELEVANTE,CATEGORIA_BASE,FRUSTRACAO,NEGATIVO,CRITICA,0.9,Torcedor expressa frustração com derrota e critica técnico Julio Batista.
f07bf7cb84585790,2067338406628090101,Sao Paulo,REPLY,@SaoPauloFC Alguém salva a base do SP,Brasileiro Sub-20: Fim de jogo #JUVxSPFC (1-0) https://t.co/7jnhqOZ4pm,RESULTADO,CATEGORIA_BASE,RELEVANTE,CATEGORIA_BASE,FRUSTRACAO,NEGATIVO,PEDIDO,0.8,Torcedor expressa frustração e pede por melhorias na base após derrota.
4d4e4d68d36c3d1b,2067359047389487371,Sao Paulo,QUOTE,Os bagres voltaram https://t.co/OuG4vjvfyN,Reapresentação e início da intertemporada tricolor! #VamosSãoPaulo 🇾🇪 📸 Rubens Chiri / São Paulo FC https://t.co/q33LCeJ4ra,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,RELEVANTE,ELENCO,IRONIA,NEGATIVO,CRITICA,0.9,"Torcedor usa ironia para criticar os jogadores, referindo-se a eles como 'bagres'."
6ff6971602527469,2067359047389487371,Sao Paulo,QUOTE,imagina a maldição que não foi esse treino https://t.co/NQV2e04ayt,Reapresentação e início da intertemporada tricolor! #VamosSãoPaulo 🇾🇪 📸 Rubens Chiri / São Paulo FC https://t.co/q33LCeJ4ra,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,RELEVANTE,DESEMPENHO_EM_CAMPO,IRONIA,NEGATIVO,CRITICA,0.9,"Torcedor ironiza o treino como azarado, indicando crítica ao desempenho do time."
b44d57b0edd16647,2067359047389487371,Sao Paulo,QUOTE,MELHOR NÃO https://t.co/w16yM6NaSy,Reapresentação e início da intertemporada tricolor! #VamosSãoPaulo 🇾🇪 📸 Rubens Chiri / São Paulo FC https://t.co/q33LCeJ4ra,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,RELEVANTE,DESEMPENHO_EM_CAMPO,FRUSTRACAO,NEGATIVO,CRITICA,0.85,"O torcedor expressa descontentamento com a reapresentação, sugerindo sarcasticamente que seria melhor não se reapresentar, indicando frustração com desempenho passado."
c4331e3e53897974,2067359047389487371,Sao Paulo,QUOTE,Eu não esqueci https://t.co/7pI8HEDOFD https://t.co/wvX3e1Er85,Reapresentação e início da intertemporada tricolor! #VamosSãoPaulo 🇾🇪 📸 Rubens Chiri / São Paulo FC https://t.co/q33LCeJ4ra,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,RELEVANTE,DESEMPENHO_EM_CAMPO,FRUSTRACAO,NEGATIVO,CRITICA,0.8,"Torcedor reage a postagem de reapresentação com referência a evento passado mal resolvido, expressando frustração e crítica."
03e4aa5f84e106d2,2067359047389487371,Sao Paulo,REPLY,@SaoPauloFC Meu medo e perder logo na primeira partida pós copa....,Reapresentação e início da intertemporada tricolor! #VamosSãoPaulo 🇾🇪 📸 Rubens Chiri / São Paulo FC https://t.co/q33LCeJ4ra,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,RELEVANTE,DESEMPENHO_EM_CAMPO,ANSIEDADE,NEGATIVO,CRITICA,0.8,"O torcedor expressa medo de perder o primeiro jogo pós-copa, indicando preocupação com o desempenho da equipe."
68cb447542e494b2,2067359047389487371,Sao Paulo,REPLY,@SaoPauloFC Nossos Guerreiros! 😫🥱,Reapresentação e início da intertemporada tricolor! #VamosSãoPaulo 🇾🇪 📸 Rubens Chiri / São Paulo FC https://t.co/q33LCeJ4ra,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,RELEVANTE,ELENCO,FRUSTRACAO,NEGATIVO,CRITICA,0.8,"Torcedor usa emoji de cansaço para criticar a postura do elenco, indicando frustração."
80dbb51bd9a7553c,2067359047389487371,Sao Paulo,REPLY,@SaoPauloFC Não precisa de descanso e nem de treinamento porque esse time não faz nada mesmo.,Reapresentação e início da intertemporada tricolor! #VamosSãoPaulo 🇾🇪 📸 Rubens Chiri / São Paulo FC https://t.co/q33LCeJ4ra,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,RELEVANTE,DESEMPENHO_EM_CAMPO,FRUSTRACAO,NEGATIVO,CRITICA,0.9,"Torcedor critica o time por falta de ação em campo, expressando frustração."
c2c12e84c0209d4c,2067359047389487371,Sao Paulo,REPLY,@SaoPauloFC Time fede a fracasso.,Reapresentação e início da intertemporada tricolor! #VamosSãoPaulo 🇾🇪 📸 Rubens Chiri / São Paulo FC https://t.co/q33LCeJ4ra,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,RELEVANTE,ELENCO,RAIVA,NEGATIVO,CRITICA,0.8,"Torcedor critica o time de forma negativa, expressando frustração com o desempenho."
d4dcd74b25bae14c,2067359047389487371,Sao Paulo,REPLY,@SaoPauloFC por mim,Reapresentação e início da intertemporada tricolor! #VamosSãoPaulo 🇾🇪 📸 Rubens Chiri / São Paulo FC https://t.co/q33LCeJ4ra,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,NAO_RELEVANTE,OUTRO,NEUTRO,NEUTRO,OUTRO,0.5,Resposta incompleta sem contexto ou opinião clara.
04f0bd72e12726cb,2067383876234674418,Sao Paulo,REPLY,@SaoPauloFC Rui Costa já foi demitido? Já espancaram o Olten a caminho da barra funda pra servir de exemplo? Quantos ratos ainda estão vivos?,As imagens do início da nossa intertemporada! #VamosSãoPaulo 🇾🇪 🎥 Gutierre Filmes https://t.co/eWa3yiY9j2,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,RELEVANTE,DIRETORIA,RAIVA,NEGATIVO,CRITICA,0.9,"Torcedor critica diretoria do clube, pedindo demissões e demonstrando raiva."
2935259613b40931,2067383876234674418,Sao Paulo,REPLY,@SaoPauloFC Cadê as contratações porra e tem que mandar meio time pra rua,As imagens do início da nossa intertemporada! #VamosSãoPaulo 🇾🇪 🎥 Gutierre Filmes https://t.co/eWa3yiY9j2,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,RELEVANTE,CONTRATACAO,RAIVA,NEGATIVO,COBRANCA,0.9,Torcedor cobra contratações e demonstra insatisfação com o elenco.
632e211aba7fc148,2067585650593857766,Sao Paulo,QUOTE,Se convocasse o goat no lugar do neymar a classificação pra final já ficava garantida https://t.co/63RA49anwL,"🎉 Feliz aniversário, Wellington Rato! Campeão da Copa do Brasil de 2023 e da Supercopa Rei de 2024, o meia-atacante completa 3️⃣4️⃣ anos nesta quinta-feira. Parabéns e felicidades! 🥳 #VamosSãoPaulo 🇾🇪 https://t.co/OilIyWzHHx",OUTRO,INSTITUCIONAL,POUCO_INFORMATIVO,OUTRO,IRONIA,NEUTRO,CRITICA,0.8,"Reação ao aniversário de Wellington Rato, mas foca em convocação para a seleção brasileira, com tom irônico e crítica sobre a escalação de Neymar."
1ffc7130cf9d49c6,2067585650593857766,Sao Paulo,REPLY,@SaoPauloFC Lenda,"🎉 Feliz aniversário, Wellington Rato! Campeão da Copa do Brasil de 2023 e da Supercopa Rei de 2024, o meia-atacante completa 3️⃣4️⃣ anos nesta quinta-feira. Parabéns e felicidades! 🥳 #VamosSãoPaulo 🇾🇪 https://t.co/OilIyWzHHx",OUTRO,INSTITUCIONAL,RELEVANTE,ELENCO,APOIO,POSITIVO,ELOGIO,0.9,"O torcedor chama Wellington Rato de 'Lenda', um elogio claro e emocão de apoio, polaridade positiva."
3757b0db211e17f9,2067586213846859919,Sao Paulo,QUOTE,Feliz Natal https://t.co/EsPChro7xd,"🎉 Feliz aniversário, Wellington Rato! Campeão da Copa do Brasil de 2023 e da Supercopa Rei de 2024, o meia-atacante completa 3️⃣4️⃣ anos nesta quinta-feira. Parabéns e felicidades! 🥳 #VamosSãoPaulo 🇾🇪 https://t.co/QhlYO5Clej",OUTRO,INSTITUCIONAL,NAO_RELEVANTE,OUTRO,NEUTRO,NEUTRO,MEME_PIADA,0.8,A reação 'Feliz Natal' parece desconexa da postagem de aniversário e pode ser uma piada ou meme.
5bb78377566ee31d,2067586213846859919,Sao Paulo,QUOTE,VOLTA RATO https://t.co/nxbrJ2j9QL,"🎉 Feliz aniversário, Wellington Rato! Campeão da Copa do Brasil de 2023 e da Supercopa Rei de 2024, o meia-atacante completa 3️⃣4️⃣ anos nesta quinta-feira. Parabéns e felicidades! 🥳 #VamosSãoPaulo 🇾🇪 https://t.co/QhlYO5Clej",OUTRO,INSTITUCIONAL,RELEVANTE,ELENCO,NEUTRO,POSITIVO,PEDIDO,0.9,"Torcedor pede o retorno do jogador, demonstrando apoio e desejo de vê-lo novamente no clube."
c67fea2bd3fa7aaa,2067586213846859919,Sao Paulo,QUOTE,Obrigado por tudo https://t.co/613P2O0srm,"🎉 Feliz aniversário, Wellington Rato! Campeão da Copa do Brasil de 2023 e da Supercopa Rei de 2024, o meia-atacante completa 3️⃣4️⃣ anos nesta quinta-feira. Parabéns e felicidades! 🥳 #VamosSãoPaulo 🇾🇪 https://t.co/QhlYO5Clej",OUTRO,INSTITUCIONAL,RELEVANTE,ELENCO,NEUTRO,POSITIVO,APOIO,0.9,"Torcedor agradece ao jogador, demonstrando apoio e sentimento positivo."
e395596b8e616cd0,2067586213846859919,Sao Paulo,QUOTE,Vi jogar. https://t.co/F0UWrHB20F,"🎉 Feliz aniversário, Wellington Rato! Campeão da Copa do Brasil de 2023 e da Supercopa Rei de 2024, o meia-atacante completa 3️⃣4️⃣ anos nesta quinta-feira. Parabéns e felicidades! 🥳 #VamosSãoPaulo 🇾🇪 https://t.co/QhlYO5Clej",OUTRO,INSTITUCIONAL,RELEVANTE,DESEMPENHO_EM_CAMPO,NEUTRO,NEUTRO,INFORMACAO,0.8,"O torcedor apenas afirma que viu o jogador atuar, sem expressar emoção ou julgamento."
fe7772bf5ee592d1,2067586213846859919,Sao Paulo,QUOTE,Vou dizer para meus filhos que esse foi Raí. https://t.co/ElRmxx6lwX,"🎉 Feliz aniversário, Wellington Rato! Campeão da Copa do Brasil de 2023 e da Supercopa Rei de 2024, o meia-atacante completa 3️⃣4️⃣ anos nesta quinta-feira. Parabéns e felicidades! 🥳 #VamosSãoPaulo 🇾🇪 https://t.co/QhlYO5Clej",OUTRO,INSTITUCIONAL,RELEVANTE,ELENCO,IRONIA,NEGATIVO,MEME_PIADA,0.9,"Torcedor faz piada comparando Wellington Rato a Raí, ironizando a baixa qualidade do jogador."
005e7c63ffdc7861,2067586213846859919,Sao Paulo,REPLY,"@SaoPauloFC Rato, eterno!","🎉 Feliz aniversário, Wellington Rato! Campeão da Copa do Brasil de 2023 e da Supercopa Rei de 2024, o meia-atacante completa 3️⃣4️⃣ anos nesta quinta-feira. Parabéns e felicidades! 🥳 #VamosSãoPaulo 🇾🇪 https://t.co/QhlYO5Clej",OUTRO,INSTITUCIONAL,RELEVANTE,ELENCO,ALEGRIA,POSITIVO,APOIO,0.9,"Torcedor parabeniza jogador, demonstrando alegria e apoio."
25456c1dad7064c6,2067586213846859919,Sao Paulo,REPLY,@SaoPauloFC São Paulo FC Legend ❤️,"🎉 Feliz aniversário, Wellington Rato! Campeão da Copa do Brasil de 2023 e da Supercopa Rei de 2024, o meia-atacante completa 3️⃣4️⃣ anos nesta quinta-feira. Parabéns e felicidades! 🥳 #VamosSãoPaulo 🇾🇪 https://t.co/QhlYO5Clej",OUTRO,INSTITUCIONAL,RELEVANTE,ELENCO,APOIO,POSITIVO,ELOGIO,0.9,"Torcedor elogia e celebra o aniversário de Wellington Rato, mostrando apoio ao clube e ao jogador."
74ea611e960a3421,2067586213846859919,Sao Paulo,REPLY,@SaoPauloFC Pai das galinhas,"🎉 Feliz aniversário, Wellington Rato! Campeão da Copa do Brasil de 2023 e da Supercopa Rei de 2024, o meia-atacante completa 3️⃣4️⃣ anos nesta quinta-feira. Parabéns e felicidades! 🥳 #VamosSãoPaulo 🇾🇪 https://t.co/QhlYO5Clej",OUTRO,INSTITUCIONAL,RELEVANTE,RIVALIDADE,IRONIA,NEGATIVO,PROVOCACAO,0.8,"O torcedor provoca o clube adversário (palmeiras) com ironia, chamando Wellington Rato de 'pai das galinhas'."
8df97a262755651c,2067586213846859919,Sao Paulo,REPLY,@SaoPauloFC volta vida,"🎉 Feliz aniversário, Wellington Rato! Campeão da Copa do Brasil de 2023 e da Supercopa Rei de 2024, o meia-atacante completa 3️⃣4️⃣ anos nesta quinta-feira. Parabéns e felicidades! 🥳 #VamosSãoPaulo 🇾🇪 https://t.co/QhlYO5Clej",OUTRO,INSTITUCIONAL,NAO_RELEVANTE,OUTRO,IRONIA,NEGATIVO,CRITICA,0.9,"Torcedor responde com 'volta vida' indicando que a mensagem de aniversário é irrelevante e critica a situação atual do time, com tom irônico."
2917021d98e96b88,2067593205231554867,Sao Paulo,QUOTE,mas quando eu falo que o SPFC é o time do shane hollander ainda tem gente que não acredita https://t.co/cSwX2Vlpzj,"18 de junho: Dia Mundial do Orgulho Autista 🧩 É dia de homenagear as pessoas com Transtorno do Espectro Autista, o TEA. De celebrar cada vitória diária, objetivo alcançado e desafios superados na neurodivergência. É também uma oportunidade para refletir sobre a necessidade de https://t.co/Cu2iezdXHl",OUTRO,OUTRO,POUCO_INFORMATIVO,OUTRO,IRONIA,NEUTRO,MEME_PIADA,0.9,Torcedor usa post sobre autismo para fazer piada comparando SPFC a um usuário do Twitter.
5e19f79fa9eb9d4f,2067602854341140736,Sao Paulo,QUOTE,Orgulho do meu time! 🇾🇪 🧩 https://t.co/XHzgtpwJGz,"🧩 Ainda sobre o #DiaMundialDoOrgulhoAutista, o São Paulo acredita que acolher seja o caminho para a inclusão. O MorumBIS oferece a sala TEA+ Tricolor, espaço de acomodação e regulação sensorial para torcedores autistas durante os jogos. O espaço, inaugurado em 2023, está https://t.co/7lM9EMllid",OUTRO,OUTRO,RELEVANTE,TORCIDA,ORGULHO,POSITIVO,APOIO,0.95,"Torcedor expressa orgulho pela iniciativa de inclusão do clube, demonstrando apoio à ação."
8b716d191bb99a60,2067602854341140736,Sao Paulo,QUOTE,O @SaoPauloFC teve preguiça de criar um post novo. Pegaram tudo do ano passado 🤡 https://t.co/HIlMauwCLN,"🧩 Ainda sobre o #DiaMundialDoOrgulhoAutista, o São Paulo acredita que acolher seja o caminho para a inclusão. O MorumBIS oferece a sala TEA+ Tricolor, espaço de acomodação e regulação sensorial para torcedores autistas durante os jogos. O espaço, inaugurado em 2023, está https://t.co/7lM9EMllid",OUTRO,OUTRO,RELEVANTE,COMUNICACAO_DO_CLUBE,IRONIA,NEGATIVO,CRITICA,0.9,"O torcedor critica o clube por reutilizar conteúdo antigo, com tom irônico e polaridade negativa."
966024a3655c4532,2067623724593864813,Sao Paulo,REPLY,"@SaoPauloFC Lá vem mais uma zika, vou até mudar meu placar no bolão","🇨🇿🇾🇪 Hoje tem jogo da Tchéquia na Copa, e o Arquivo Histórico traz uma curiosidade sobre o país: o tcheco que defendeu o São Paulo em um único jogo Conheça essa história: https://t.co/Z67emo8isW #SPFCpédia #MemóriaTricolor https://t.co/iRGtU6m3Oj",PARTIDA,OUTRO,POUCO_INFORMATIVO,COMUNICACAO_DO_CLUBE,IRONIA,NEGATIVO,MEME_PIADA,0.7,"Torcedor faz piada com possível 'zika' do clube ao divulgar história, alterando seu palpite no bolão."
b4f1d5a6bc9dd18a,2067635336243560511,Sao Paulo,REPLY,@SaoPauloFC Na SAO Store eu encontro a demissão do Rui Costa também ???? FORA RUI COSTA!!! E Vaamos São Paulo,A história do Tricolor você veste aqui! 📜🇾🇪 Na SAO Store você encontra a sua camisa! 🔗 https://t.co/EspuoUfPPv https://t.co/wrIDpsT5jD,PRODUTO_CAMISA,PRODUTO_OFICIAL,RELEVANTE,DIRETORIA,RAIVA,NEGATIVO,CRITICA,0.9,"Torcedor ignora o produto e critica a diretoria, pedindo demissão e expressando raiva."
c0666cae4158a61e,2067635336243560511,Sao Paulo,REPLY,@SaoPauloFC nova camiseta pra serie B? timeco fudido,A história do Tricolor você veste aqui! 📜🇾🇪 Na SAO Store você encontra a sua camisa! 🔗 https://t.co/EspuoUfPPv https://t.co/wrIDpsT5jD,PRODUTO_CAMISA,PRODUTO_OFICIAL,RELEVANTE,DESEMPENHO_EM_CAMPO,IRONIA,NEGATIVO,CRITICA,0.9,"Torcedor critica a situação do time (série B) com tom irônico, mencionando a camisa."
e747c03efa58b7f7,2067635336243560511,Sao Paulo,REPLY,"@SaoPauloFC História que essa bost@ de diretoria faz o favor de apagá-la, se não fosse a torcida que ainda ama esse clube, já seria extinto com esses bando de caga grosso.",A história do Tricolor você veste aqui! 📜🇾🇪 Na SAO Store você encontra a sua camisa! 🔗 https://t.co/EspuoUfPPv https://t.co/wrIDpsT5jD,PRODUTO_CAMISA,PRODUTO_OFICIAL,RELEVANTE,COMUNICACAO_DO_CLUBE,RAIVA,NEGATIVO,CRITICA,0.8,"O torcedor critica a diretoria e a comunicaçao do clube, demonstrando raiva e desagrado."
f9d1e80fcb4635c2,2067635336243560511,Sao Paulo,REPLY,@SaoPauloFC https://t.co/7a6km8uNIW,A história do Tricolor você veste aqui! 📜🇾🇪 Na SAO Store você encontra a sua camisa! 🔗 https://t.co/EspuoUfPPv https://t.co/wrIDpsT5jD,PRODUTO_CAMISA,PRODUTO_OFICIAL,NAO_RELEVANTE,PRODUTO_OFICIAL,NEUTRO,NEUTRO,OUTRO,0.8,"A reação é apenas um link para outra postagem, sem conteúdo textual que indique emoção ou intenção clara."
ffb1f25e150c79d2,2067638746615369958,Sao Paulo,REPLY,@SaoPauloFC time falido fecha as portas,Treino do #FutebolFemininoTricolor concluído! #VamosSãoPaulo 🇾🇪 https://t.co/b2cx3dZlgG,BASTIDORES,FUTEBOL_FEMININO,RELEVANTE,OUTRO,RAIVA,NEGATIVO,CRITICA,0.8,Torcedor expressa insatisfação com situação financeira do clube em tom negativo e crítico.
e5f8052b55848eaf,2067666394410315955,Sao Paulo,QUOTE,https://t.co/3pgLlbQsk0 https://t.co/Fn7oN6wKw7,Segundo dia de intertemporada concluído! #VamosSãoPaulo 🇾🇪 📸 Erico Leonan / São Paulo FC https://t.co/pLMI0rr8VK,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,POUCO_INFORMATIVO,OUTRO,NEUTRO,NEUTRO,INFORMACAO,0.8,"A reação é apenas um link de mídia sem contexto explícito, sem conteúdo relevante além da publicação original."
