reaction_id,field,manual_value,llm_value,official_post_type,official_post_topic,reaction_type,clean_text
04f0bd72e12726cb,intencao,COBRANCA,CRITICA,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,REPLY,@SaoPauloFC Rui Costa já foi demitido? Já espancaram o Olten a caminho da barra funda pra servir de exemplo? Quantos ratos ainda estão vivos?
0c603ef2d22dd120,tema,RIVALIDADE,DESEMPENHO_EM_CAMPO,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,REPLY,@SaoPauloFC Ninguém liga pra esse timeco
0c603ef2d22dd120,intencao,PROVOCACAO,CRITICA,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,REPLY,@SaoPauloFC Ninguém liga pra esse timeco
14d9e4415c8bda7e,tema,DESEMPENHO_EM_CAMPO,CATEGORIA_BASE,RESULTADO,CATEGORIA_BASE,QUOTE,Surreal. Com todos os profissionais e mesmo assim não vence. https://t.co/M1lv2aIQpp
2935259613b40931,emocao,RAIVA,FRUSTRACAO,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,REPLY,@SaoPauloFC Cadê as contratações porra e tem que mandar meio time pra rua
35d587abe951df47,tema,DESEMPENHO_EM_CAMPO,OUTRO,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,REPLY,@SaoPauloFC Ninguém aguenta mais esse clube.
41ced19eed799552,tema,COMUNICACAO_DO_CLUBE,CATEGORIA_BASE,PARTIDA,CATEGORIA_BASE,REPLY,@SaoPauloFC Transmissão?
41d7d5276e73ed44,relevancia,POUCO_INFORMATIVO,RELEVANTE,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,QUOTE,ooh nojeira https://t.co/2mqcfEOsB9
4d4e4d68d36c3d1b,intencao,PROVOCACAO,CRITICA,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,QUOTE,Os bagres voltaram https://t.co/OuG4vjvfyN
68cb447542e494b2,intencao,MEME_PIADA,CRITICA,BASTIDORES,FUTEBOL_PROFISSIONAL_MASCULINO,REPLY,@SaoPauloFC Nossos Guerreiros! 😫🥱
